level,name,adaptive,qber,skr,sift_theory,sift_actual,p_fade,basis_pz,n_ok,n_lost,n_sifted,n_errors
0,OFF,False,0.0,0.5,50.0,49.64,0.0,0.5,5000,0,2482,0
0,OFF,True,0.0,0.5,50.0,50.0,0.0,0.5,5000,0,2500,0
1,WEAK,False,0.38606216590774106,0.4605699023305019,50.0,50.514009272324124,0.7799999999999999,0.5,4961,39,2506,0
1,WEAK,True,0.5088804629814409,0.45472314836808375,50.5,50.11113356233583,1.02,0.55,4949,51,2480,0
2,MILD,False,3.406104709925207,0.268484993104933,50.0,49.43169633283294,6.74,0.5,4663,337,2305,0
2,MILD,True,3.307692307692308,0.2845826840851704,52.0,52.14776632302406,6.88,0.6,4656,344,2428,0
3,MODERATE,False,6.980454726765058,0.10559065715253757,50.0,50.16279069767442,14.000000000000002,0.5,4300,700,2157,0
3,MODERATE,True,5.718879191548002,0.2155905813618942,68.00000000000001,67.99905948742064,14.940000000000001,0.8,4253,747,2892,0
4,STRONG,False,11.69997981021603,0.0,50.0,49.388180161416294,23.18,0.5,3841,1159,1897,0
4,STRONG,True,8.707165109034268,0.053381877782882226,68.00000000000001,68.28954147346728,22.36,0.8,3882,1118,2651,0
5,SEVERE,False,13.665987780040734,0.0,50.0,48.769819573537454,26.840000000000003,0.5,3658,1342,1784,0
5,SEVERE,True,10.68362480127186,0,68.00000000000001,67.6422319474836,26.88,0.8,3656,1344,2473,0
